dia,fecha,tema,fb,ig,hashtags,cta,url_imagen
47,2026-10-12,Mujeres en ingeniería en el Cesar,"En las salidas de campo de ingeniería ambiental y civil en esta región todavía es común llegar a un sitio y que alguien busque con la mirada quién es ""el ingeniero"".

Las barreras concretas:

· DOTACIÓN. Los EPP se compran por defecto en tallas de hombre. Un overol que sobra, unas botas grandes o un arnés mal ajustado no son un tema de comodidad: son un riesgo de seguridad.
· CONDICIONES EN CAMPO. Jornadas largas, sitios remotos, alojamiento y baños que nadie planeó. Se resuelve en la planeación de la comisión, no improvisando.
· ASIGNACIÓN DE TAREAS. El sesgo más común no es negar la entrada: es asignar por defecto la oficina y los datos, y dejar el campo y la coordinación para otros. Una ingeniera que no hace campo no acumula la experiencia específica que después le exigen los pliegos.

Lo que sí depende de una empresa: comprar EPP en las tallas que el equipo necesita, planear las condiciones de campo antes de salir, repartir campo y coordinación por perfil y no por costumbre, y tener reglas claras frente al acoso.

El criterio técnico no tiene género.","En las salidas de campo de esta región todavía es común llegar a un sitio y que alguien busque con la mirada quién es ""el ingeniero"".

Las barreras concretas:
· EPP comprado por defecto en tallas de hombre. Un arnés mal ajustado no es incomodidad: es riesgo.
· Condiciones de campo que nadie planeó.
· Asignación por costumbre: oficina y datos para ellas, campo y coordinación para otros. Y sin campo no se acumula la experiencia específica que después exigen los pliegos.

Lo que sí depende de la empresa: dotación en las tallas que el equipo necesita, comisiones bien planeadas, tareas por perfil y reglas claras frente al acoso.

El criterio técnico no tiene género.",#SOSING #Valledupar #Cesar #EquipoSOSING #IngenieriaColombia #TalentoDelCesar #SeguridadYSalud #OrgulloVallenato,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_47.png
48,2026-10-13,Subsanabilidad: qué se puede corregir y qué no,"La regla es sencilla: lo que habilita se subsana; lo que puntúa, no.

SE PUEDE SUBSANAR
Todo lo referido a requisitos habilitantes: capacidad jurídica, financiera, organizacional y experiencia. Si al cierre ya cumplía la condición y solo faltaba el documento que lo demuestra, puede aportarlo en el plazo que fije la entidad.

NO SE PUEDE SUBSANAR
· Lo que otorga puntaje. Si un documento sirve para asignar puntos y no se presentó, se pierde el puntaje.
· La oferta económica, salvo las correcciones aritméticas que el pliego autorice.
· La no presentación de la garantía de seriedad con la oferta: la Ley 1882 de 2018 la dejó como causal de rechazo. Corregir defectos de una garantía sí presentada es otra cosa.

EL LÍMITE DE FONDO
La subsanación sirve para PROBAR una condición existente al cierre, no para ADQUIRIRLA después. Nadie firma un consorcio ni inscribe un código UNSPSC después del cierre y lo presenta como subsanación.

Y el error operativo más costoso: no responder el requerimiento dentro del plazo. El término es perentorio. Vencido, la entidad rechaza.","La regla se resume así: lo que habilita se subsana; lo que puntúa, no.

SE SUBSANA: capacidad jurídica, financiera, organizacional y experiencia. Si al cierre ya cumplía y solo faltaba el documento, se aporta.

NO SE SUBSANA:
· Lo que otorga puntaje
· La oferta económica, salvo corrección aritmética que el pliego autorice
· La no presentación de la garantía de seriedad con la oferta — Ley 1882 de 2018. Corregir defectos de una garantía sí presentada es otra cosa.

EL LÍMITE: la subsanación sirve para PROBAR una condición que existía al cierre, no para adquirirla después.

Y el error más costoso: dejar vencer el plazo. Es perentorio.",#SOSING #Valledupar #Cesar #ContratacionPublica #SECOPII #Licitaciones #Consorcio #RUP #AlianzasEstrategicas,¿Estructurando una oferta? Escríbenos: +57 311 660 8217,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_48.png
49,2026-10-14,"Día del Agua, del Árbol y demás efemérides: qué hacemos con ellas","El calendario ambiental está lleno: 2 de febrero humedales, 22 de marzo agua, 29 de abril árbol en Colombia, 5 de junio medio ambiente, 13 de octubre reducción del riesgo de desastres, 5 de diciembre suelo.

Y está lleno también de siembras que nadie vuelve a visitar.

La versión inútil es conocida: se convoca, se siembran doscientos árboles en una mañana, se toma la foto, y a los seis meses no queda ni la tercera parte. Nadie regó, nadie aisló del ganado, nadie repuso. El indicador fue la foto.

La versión útil exige tres cosas que no salen en la foto:

1. RESPONSABLE CON NOMBRE. Quién mantiene, quién repone, quién riega. Definido antes del evento.
2. HORIZONTE Y PRESUPUESTO. Mínimo dos años. Si no hay recursos, hay que sembrar menos árboles y cuidarlos bien. Cien vivos sirven más que quinientos muertos.
3. INDICADOR VERIFICABLE. Supervivencia medida en campo a los 6, 12 y 24 meses, con registro fotográfico georreferenciado del mismo punto.

Un río no necesita felicitaciones. Necesita caudal ecológico respetado, vertimientos tratados y ronda hídrica libre.","El calendario ambiental está lleno: humedales en febrero, agua en marzo, árbol en abril, medio ambiente en junio, riesgo de desastres en octubre, suelo en diciembre.

Y está lleno de siembras que nadie vuelve a visitar.

La versión útil de una efeméride exige tres cosas que no salen en la foto:
1. Responsable con nombre para el mantenimiento
2. Horizonte y presupuesto de al menos dos años — cien árboles vivos sirven más que quinientos muertos
3. Indicador de supervivencia medido a los 6, 12 y 24 meses

Un río no necesita felicitaciones. Necesita caudal, vertimientos tratados y ronda libre.",#SOSING #Valledupar #Cesar #SierraNevada #MedioAmbiente #Caribe #Colombia #Biodiversidad,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_49.png
50,2026-10-15,Emisiones atmosféricas: cuándo se requiere permiso,"No toda actividad que emite al aire requiere permiso. Pero muchas de las que sí lo requieren operan sin él.

El permiso aplica a FUENTES FIJAS y está regulado en el Decreto 1076 de 2015, que recogió lo que estaba en el Decreto 948 de 1995. La norma trae un listado, entre ellas:

· Plantas de cemento, cal, yeso y ladrilleras
· Plantas de asfalto y de concreto
· Canteras y trituradoras
· Metalurgia, fundición y generación térmica

Lo que suele confundirse:
· Las fuentes MÓVILES se controlan con revisión técnico-mecánica y de gases, no con este permiso.
· El RUIDO tiene su propio régimen: la Resolución 0627 de 2006.
· El material particulado de una obra civil normalmente no requiere permiso, pero sí control: humectación, encerramiento, cubrimiento de volquetas y lavado de llantas.

Qué exige el trámite: información del proceso y de los combustibles, sistemas de control, altura de las descargas y mediciones en chimenea con método isocinético y laboratorio acreditado.

El permiso se tramita antes de operar la fuente. Después ya no es un trámite: es un descargo.","No toda actividad que emite al aire requiere permiso. Pero muchas de las que sí lo requieren operan sin él.

El permiso aplica a FUENTES FIJAS (Decreto 1076 de 2015): cementeras, ladrilleras, plantas de asfalto y concreto, trituradoras, incineradores, fundiciones, generación térmica.

Lo que se confunde:
· Fuentes móviles → revisión técnico-mecánica y de gases, no este permiso
· Ruido → régimen propio, Resolución 0627 de 2006
· Polvo en obra civil → normalmente sin permiso, pero con control obligatorio: humectación, encerramiento, cubrimiento de volquetas, lavado de llantas

Se tramita antes de operar. Después ya no es trámite: es descargo.",#SOSING #Valledupar #Cesar #NormativaAmbiental #CORPOCESAR #LicenciaAmbiental #GestionAmbiental #IngenieriaAmbiental,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_50.png
51,2026-10-16,Levantamiento topográfico aplicado a estudios ambientales,"En un estudio ambiental la topografía no es un anexo. Es el dato que sostiene casi todo lo demás: las secciones del cauce del modelo hidráulico, las cotas de inundación, la delimitación de rondas, la localización de puntos de muestreo y el replanteo de obras.

Las reglas clave:

SISTEMA DE REFERENCIA. Todo se entrega en el sistema oficial vigente del IGAC, con el origen de proyección que corresponda. Un levantamiento en otro sistema obliga a rehacer la cartografía completa.

AMARRE. El levantamiento se amarra a puntos geodésicos. Sin amarre, las coordenadas son relativas y no se superponen con cartografía oficial ni con predios.

ALTIMETRÍA. Las cotas se refieren a la red de nivelación oficial. Un GPS de navegación no da altura utilizable para diseño hidráulico: el error vertical es de metros, y en una llanura de inundación un metro cambia todo.

DENSIDAD. Secciones muy espaciadas producen modelos que se ven bien y no representan nada. Y hay que levantar puentes y alcantarillas con sus dimensiones internas.

Una topografía deficiente no se corrige en gabinete. Se vuelve a campo.","En un estudio ambiental la topografía no es un anexo. Es el dato que sostiene todo lo demás.

Se usa para secciones del cauce del modelo hidráulico, cotas de inundación, delimitación de rondas, localización de puntos de muestreo y replanteo de obras.

Las reglas que hacen la diferencia:
· Sistema de referencia oficial vigente del IGAC. En otro sistema, se rehace la cartografía completa.
· Amarre a puntos geodésicos. Sin amarre, las coordenadas son relativas.
· Cotas referidas a la red de nivelación. Un GPS de navegación tiene error vertical de metros, y en una llanura un metro cambia todo.

Una topografía deficiente no se corrige en gabinete. Se vuelve a campo.",#SOSING #Valledupar #Cesar #IngenieriaAmbiental #TrabajoDeCampo #ConsultoriaAmbiental #IngenieriaColombia #Ingenieria,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_51.png
52,2026-10-17,Simulacros: la diferencia entre cumplir y estar preparado,"Un simulacro anunciado con tres semanas de anticipación, con guion conocido y sin nadie tomando el tiempo, no es un simulacro. Es un ensayo de teatro con acta.

Lo que separa uno real de uno de cumplimiento:

ESCENARIO DEFINIDO Y CREÍBLE. No ""hubo una emergencia"", sino: creciente súbita en tal punto, a tal hora, con estas vías afectadas. El escenario sale de los estudios de riesgo del municipio.

FALLAS INTRODUCIDAS A PROPÓSITO. Una ruta de evacuación bloqueada, un radio sin batería, el coordinador ausente. Las emergencias reales no ocurren en condiciones ideales.

EVALUADORES EXTERNOS CON FORMATO Y CRONÓMETRO. Se miden tiempos: de la alarma a la evacuación completa, del reporte inicial a la activación del consejo municipal.

PARTICIPACIÓN REAL. Si el escenario afecta a un barrio, el simulacro incluye al barrio.

Y lo que decide si sirvió: EL CIERRE. Acta con hallazgos, cada uno con responsable y fecha, y verificación en el siguiente simulacro de que se corrigió.

Se simula para encontrar fallas. Un simulacro donde todo salió perfecto está mal diseñado.","Un simulacro anunciado con tres semanas, con guion conocido y sin nadie tomando el tiempo, no es un simulacro. Es un ensayo de teatro con acta.

Lo que lo hace real:
· Escenario concreto y creíble, sacado de los estudios de riesgo del municipio
· Fallas introducidas a propósito: una ruta bloqueada, un radio sin batería, el coordinador ausente
· Evaluadores externos con formato y cronómetro
· Participación de la comunidad, no solo de funcionarios
· Y el cierre: acta con hallazgos, responsable y fecha, verificados en el siguiente simulacro

La Ley 1523 de 2012 puso la preparación como proceso permanente, no como evento anual.

Uno donde todo salió perfecto está mal diseñado.",#SOSING #Valledupar #Cesar #GestionDelRiesgo #Ley1523 #GestionDelRiesgoDeDesastres #ResilienciaTerritorial #Prevencion,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_52.png
53,2026-10-18,Pozos profundos: perforación y legalización,"El orden correcto para hacer un pozo profundo es el contrario al que se usa casi siempre.

1. ESTUDIO HIDROGEOLÓGICO. Geología de la zona, pozos vecinos y prospección geofísica para ubicar el sitio y estimar la profundidad del acuífero. Sirve para no perforar en seco.

2. PERMISO DE PROSPECCIÓN Y EXPLORACIÓN DE AGUAS SUBTERRÁNEAS. Se tramita ANTES de meter la máquina. Es un permiso distinto de la concesión.

3. PERFORACIÓN CON REGISTRO. Columna litológica metro a metro, rejilla frente a los estratos productores, engravillado y sello sanitario. El sello impide que el agua superficial contaminada baje por el anular hasta el acuífero.

4. PRUEBA DE BOMBEO. Escalonada y de caudal constante, con medición de recuperación. De ahí sale el caudal de explotación seguro.

5. ANÁLISIS DE CALIDAD DEL AGUA, según el uso previsto.

6. CONCESIÓN DE AGUAS SUBTERRÁNEAS, con caudal y régimen de bombeo autorizados.

Y lo que casi nunca se instala: macromedidor y un acceso para medir el nivel dentro del pozo. Sin eso, la operación es a ciegas.

Perforar primero y legalizar después sale más caro.","El orden correcto para hacer un pozo profundo es el contrario al que se usa casi siempre.

1. Estudio hidrogeológico con prospección geofísica — para no perforar en seco
2. Permiso de prospección y exploración, ANTES de meter la máquina. Es distinto de la concesión.
3. Perforación con columna litológica, rejilla frente a los estratos productores, engravillado y sello sanitario
4. Prueba de bombeo escalonada y de caudal constante → caudal seguro de explotación
5. Análisis de calidad según el uso
6. Concesión de aguas subterráneas

Y lo que casi nunca se instala: macromedidor y acceso para medir el nivel dentro del pozo. Sin eso, la operación es a ciegas.",#SOSING #Valledupar #Cesar #AguaPotable #Saneamiento #IngenieriaSanitaria #AguaParaTodos #RecursoHidrico,¿Va a legalizar o construir un pozo? Escríbenos: +57 311 660 8217,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_53.png
54,2026-10-19,Practicantes y jóvenes ingenieros: cómo formamos,"Un ingeniero recién graduado sabe calcular. Lo que no sabe es que el dato que escribe en una planilla de campo va a terminar en un documento que alguien firma con su matrícula profesional.

Eso es lo primero que enseñamos.

PRIMERO CAMPO, NO ARCHIVO. Seis meses escaneando documentos no forman a nadie. Sale a campo desde temprano, acompañado, con tareas acotadas y verificables.

EL FORMATO DE CAMPO ES UN DOCUMENTO. Se diligencia completo, en el sitio, sin espacios en blanco. No se pasa en limpio después ""porque quedó feo"": eso es alterar un registro.

SE EXPLICA EL PORQUÉ, NO SOLO EL CÓMO. Por qué la velocidad se mide a 0,6 de la profundidad, por qué el frasco de grasas es de vidrio, por qué el DAP se mide a 1,30 metros. Quien entiende el fundamento sabe cuándo el procedimiento no aplica.

EL ERROR SE REPORTA, NO SE ESCONDE. Un dato dudoso que se avisa el mismo día se resuelve volviendo al punto. Descubierto tres meses después, ya está en un informe radicado.

Y antes de todo: afiliación a riesgos laborales, inducción y EPP completo antes de la primera salida.","Un ingeniero recién graduado sabe calcular. Lo que no sabe es que el dato que escribe en una planilla de campo termina en un documento que alguien firma con su matrícula.

Eso es lo primero que enseñamos.

· Primero campo, no archivo. Seis meses escaneando no forman a nadie.
· El formato de campo es un documento: completo, en el sitio, sin espacios en blanco. No se pasa en limpio después.
· Se explica el porqué, no solo el cómo. Quien entiende el fundamento detecta cuándo el procedimiento no aplica.
· El error se reporta el mismo día. Tres meses después ya está radicado.

Y antes de todo: ARL, inducción y EPP completo antes de la primera salida.",#SOSING #Valledupar #Cesar #EquipoSOSING #IngenieriaColombia #TalentoDelCesar #SeguridadYSalud #OrgulloVallenato,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_54.png
55,2026-10-20,Observaciones al pliego: el arma más subutilizada,"La mayoría de los proponentes entra al proceso cuando ya está el pliego definitivo. Para entonces la pelea más importante ya se perdió.

El momento con verdadero margen es el proyecto de pliego. Ahí la entidad todavía puede modificar sin costo político y sin rehacer cronogramas.

QUÉ SE OBSERVA
· Requisitos habilitantes desproporcionados frente al valor y al objeto
· Códigos UNSPSC que no corresponden a las actividades que se van a ejecutar
· Experiencia exigida en un solo contrato cuando el objeto permite acumular varios
· Perfiles de personal tan específicos que solo una empresa los cumple
· Indicadores financieros sin relación con el tamaño del contrato
· Errores en el presupuesto oficial, en las cantidades o en los análisis de precios unitarios

CÓMO SE HACE BIEN
Una observación útil tiene tres partes: qué dice el pliego, por qué es problemático con sustento técnico o normativo, y una propuesta concreta de redacción alternativa. Pedir que se elimine un requisito sin proponer con qué reemplazarlo casi nunca prospera.

No observar es aceptar el pliego tal como está.","La mayoría entra al proceso cuando ya está el pliego definitivo. Para entonces la pelea más importante ya se perdió.

El margen real está en el proyecto de pliego. Ahí la entidad todavía puede modificar sin costo.

Qué se observa: requisitos habilitantes desproporcionados, códigos UNSPSC que no corresponden al objeto, experiencia exigida en un solo contrato, perfiles que solo cumple un proponente, plazos imposibles, errores en el presupuesto o en los APU.

Cómo se hace bien: qué dice el pliego + por qué es problemático + propuesta concreta de redacción. Pedir que se elimine algo sin proponer reemplazo casi nunca prospera.

No observar es aceptar el pliego tal como está.",#SOSING #Valledupar #Cesar #ContratacionPublica #SECOPII #Licitaciones #Consorcio #RUP #AlianzasEstrategicas,¿Quieres competir en un proceso con nosotros? comercial@sosinggroup.com,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_55.png
56,2026-10-21,La Guajira: el desafío hídrico más duro del Caribe,"En La Guajira el problema del agua no se resuelve perforando más pozos.

Las condiciones reales:

· CLIMA ÁRIDO. De las precipitaciones más bajas del país, concentradas en pocas semanas y con evaporación alta.
· AGUA SUPERFICIAL ESCASA. Fuera del Ranchería, arroyos intermitentes que corren pocos días y desaparecen.
· ACUÍFEROS SALINOS. Muchos pozos entregan agua por encima de lo admisible en conductividad y sólidos disueltos. Cerca de la costa, la sobreexplotación acelera la intrusión salina: se bombea más y el agua se vuelve más salada.
· POBLACIÓN DISPERSA. El poblamiento wayuu en rancherías hace inviable la red convencional.

Las soluciones tienen que ser descentralizadas: tratamiento en sitio, desalinización de pequeña escala, cosecha de lluvia y rehabilitación de jagüeyes.

El punto crítico no es la obra: es la operación. Una unidad sin repuestos ni mantenimiento es chatarra en menos de dos años. El paisaje guajiro está lleno de infraestructura buena, instalada y abandonada.

Trabajamos en Cesar y La Guajira. El proyecto que no define quién opera y con qué plata ya falló.","En La Guajira el problema del agua no se resuelve perforando más pozos.

· Clima árido: de las precipitaciones más bajas del país, concentradas en pocas semanas
· Fuera del Ranchería, arroyos intermitentes que corren pocos días
· Acuíferos salinos, y cerca de la costa la sobreexplotación acelera la intrusión salina: se bombea más y el agua se vuelve más salada
· Poblamiento disperso: la red convencional no aplica

Las soluciones son descentralizadas: tratamiento en sitio, desalinización de pequeña escala, cosecha de lluvia, rehabilitación de jagüeyes y molinos.

Y el punto crítico no es la obra: es la operación. El paisaje guajiro está lleno de infraestructura buena, instalada y abandonada.",#SOSING #Valledupar #Cesar #SierraNevada #MedioAmbiente #Caribe #Colombia #Biodiversidad,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_56.png
57,2026-10-22,Inversión forzosa del 1% y compensación ambiental,"Se confunden todo el tiempo y son obligaciones distintas. Pueden aplicar las dos al mismo proyecto.

INVERSIÓN FORZOSA DEL 1%
Nace de la Ley 99 de 1993. Aplica a proyectos con licencia ambiental que usan agua tomada directamente de una fuente natural. Obliga a destinar no menos del 1% de la inversión total a la recuperación, conservación y vigilancia de la cuenca que alimenta esa fuente.

Tres precisiones:
· Se liquida sobre una base definida por la norma —obras civiles, predios, maquinaria y equipo, entre otros rubros—, no sobre lo que al proyecto le parezca.
· Los recursos se ejecutan dentro de la cuenca aportante, con plan de inversión aprobado por la autoridad.
· No es una donación ni un programa de relacionamiento comunitario. Tiene destinación específica.

COMPENSACIÓN AMBIENTAL
Nace de un hecho distinto: el impacto que no se pudo evitar, mitigar ni corregir. Responde a lo que se afectó, no a cuánto costó el proyecto.

EL ERROR CARO: creer que sembrando árboles se cumplen las dos.

Cumplir una no exime de la otra. Y ambas se verifican en el seguimiento.","Se confunden todo el tiempo. Son obligaciones distintas y pueden aplicar las dos al mismo proyecto.

INVERSIÓN DEL 1% (Ley 99 de 1993): aplica a proyectos con licencia ambiental que toman agua directamente de una fuente natural. No menos del 1% de la inversión total va a la cuenca que alimenta esa fuente, con plan aprobado por la autoridad. No es donación ni relacionamiento comunitario.

COMPENSACIÓN: nace del impacto que no se pudo evitar, mitigar ni corregir. Responde a lo que se afectó, no a lo que costó el proyecto.

El error caro: creer que sembrando árboles se cumplen las dos.

Cumplir una no exime de la otra.",#SOSING #Valledupar #Cesar #NormativaAmbiental #CORPOCESAR #LicenciaAmbiental #GestionAmbiental #IngenieriaAmbiental,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_57.png
58,2026-10-23,Modelación de inundaciones: qué se puede y qué no se puede predecir,"Un modelo de inundación es una herramienta poderosa y una fuente frecuente de malentendidos.

LO QUE SÍ PERMITE
· Estimar la mancha de inundación para un caudal asociado a un período de retorno
· Calcular profundidades y velocidades, que definen el daño y el riesgo para las personas
· Comparar alternativas: ampliar el puente, construir el jarillón, recuperar la sección del canal
· Evaluar el efecto aguas arriba y aguas abajo de una obra, el análisis que nadie hace

LO QUE NO PERMITE
· Decir cuándo será el próximo evento. El período de retorno es probabilidad anual, no calendario: uno de 100 años puede repetirse dos veces seguidas.
· Garantizar que un sitio no se inundará
· Compensar una topografía deficiente: el modelo hereda los errores del terreno.
· Incluir basuras, sedimento acumulado o una compuerta que nadie abrió, que explican buena parte de las inundaciones urbanas

Y LA CONDICIÓN QUE DECIDE TODO: LA CALIBRACIÓN. El modelo se contrasta con eventos reales y se ajusta hasta que reproduce lo que ya ocurrió.

Un modelo sin calibrar es una hipótesis bien dibujada.","Un modelo de inundación es una herramienta poderosa y una fuente frecuente de malentendidos.

SÍ PERMITE: estimar la mancha para un caudal de diseño, calcular profundidades y velocidades, comparar alternativas de obra y evaluar el efecto aguas arriba y aguas abajo.

NO PERMITE:
· Decir cuándo será el próximo evento. El período de retorno es probabilidad, no calendario.
· Garantizar que un sitio no se inunde
· Compensar topografía deficiente: el modelo hereda los errores del terreno
· Incluir basuras, sedimento o una compuerta que nadie abrió

Y la condición que decide todo: la calibración con eventos reales.

Un modelo sin calibrar es una hipótesis bien dibujada.",#SOSING #Valledupar #Cesar #IngenieriaAmbiental #TrabajoDeCampo #ConsultoriaAmbiental #IngenieriaColombia #Ingenieria,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_58.png
59,2026-10-24,Fenómeno de El Niño y La Niña: cómo se prepara un municipio,"El Niño y La Niña tienen algo que casi ningún otro fenómeno de riesgo tiene: se anuncian con meses de anticipación. El IDEAM emite alertas antes de que el efecto llegue.

Hay ventana de preparación. Y aun así, la mayoría reacciona cuando ya empezó.

QUÉ CAMBIA CON CADA FASE
En fase seca: desabastecimiento, incendios de cobertura vegetal y estrés agropecuario. En fase húmeda: inundaciones, avenidas torrenciales, movimientos en masa y colapso de vías rurales.

QUÉ SE HACE ANTES
Fase seca: fuentes alternas y su viabilidad legal —una concesión no se tramita en tres días—, estado de pozos y bombeo, control de pérdidas y restricción de quemas.
Fase húmeda: limpiar drenajes y sumideros ANTES de que llueva, monitorear laderas y puntos críticos, asegurar albergues con capacidad y responsable, y verificar comunicaciones y maquinaria.

CÓMO SE FORMALIZA
Con un plan de contingencia por temporada, aprobado en el consejo municipal y articulado con la estrategia municipal de respuesta a emergencias (Ley 1523 de 2012).

Un fenómeno anunciado que sorprende a un municipio no es un desastre natural.","El Niño y La Niña tienen algo que casi ningún otro fenómeno de riesgo tiene: se anuncian con meses de anticipación.

Hay ventana de preparación. Y aun así, casi todos reaccionan cuando ya empezó.

FASE SECA: fuentes alternas y su viabilidad legal —una concesión no se tramita en tres días—, revisar pozos y bombeo, reforzar control de pérdidas, restringir quemas.

FASE HÚMEDA: limpiar drenajes y sumideros ANTES de que llueva, monitorear laderas y puntos críticos, asegurar albergues, verificar comunicaciones y maquinaria.

Todo eso se formaliza en un plan de contingencia aprobado en el consejo municipal.

Un fenómeno anunciado que sorprende no es un desastre natural.",#SOSING #Valledupar #Cesar #GestionDelRiesgo #Ley1523 #GestionDelRiesgoDeDesastres #ResilienciaTerritorial #Prevencion,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_59.png
60,2026-10-25,Vertimiento al suelo: la norma que cambió las reglas,"Durante años se asumió que descargar al suelo era la salida fácil: sin cuerpo de agua visible, sin control. Eso se acabó.

El Decreto 050 de 2018 modificó el Decreto 1076 de 2015 y estructuró el régimen del vertimiento al suelo. Después se fijaron los valores máximos permisibles. Hoy es un permiso con exigencias propias.

QUÉ HAY QUE DEMOSTRAR
· Caracterización con laboratorio acreditado por el IDEAM
· Estudio de suelos: perfil, textura, permeabilidad e infiltración
· Profundidad del nivel freático y riesgo para el agua subterránea. Ese es el corazón del asunto: lo que se infiltra puede llegar al acuífero del que alguien toma agua.
· Sistema de disposición: infiltración o aspersión, área y tasa de aplicación
· Distancias a pozos, aljibes, viviendas y linderos
· Evaluación ambiental del vertimiento y plan de gestión del riesgo para su manejo

Le aplica a estaciones de servicio, lavaderos, plantas de beneficio animal, agroindustria y campamentos de obra.

Y una distinción que se pasa por alto: verter al suelo NO es lo mismo que reusar agua tratada en riego.","Durante años se asumió que descargar al suelo era la salida fácil: sin cuerpo de agua visible, sin control. Eso se acabó.

El Decreto 050 de 2018 estructuró el régimen del vertimiento al suelo, y después se fijaron los valores máximos permisibles. Hoy es un permiso con exigencias propias.

Qué hay que demostrar:
· Caracterización con laboratorio acreditado
· Estudio de suelos: perfil, textura, permeabilidad, infiltración
· Profundidad del nivel freático y riesgo para el agua subterránea ← el corazón del asunto
· Distancias a pozos, aljibes y viviendas
· Evaluación ambiental del vertimiento

Y ojo: verter al suelo NO es lo mismo que reusar agua tratada en riego.",#SOSING #Valledupar #Cesar #AguaPotable #Saneamiento #IngenieriaSanitaria #AguaParaTodos #RecursoHidrico,¿Descarga al suelo? Revisemos su expediente: comercial@sosinggroup.com,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_60.png
61,2026-10-26,Detrás de un informe de 400 páginas,"Un informe técnico de 400 páginas suele tener menos de 150 de texto. El resto son anexos, y los anexos son lo que sostiene el documento.

QUÉ HAY ADENTRO
· Formatos de campo, con firma de quien tomó el dato
· Cadenas de custodia de cada muestra
· Certificados de calibración y acreditación vigente del laboratorio
· Memorias de cálculo, con fórmulas y supuestos a la vista
· Cartografía con su información geográfica, en el sistema de referencia oficial
· Registro fotográfico fechado y georreferenciado
· Bases de datos del monitoreo, en formato editable
· Matrículas profesionales y actas de socialización

CÓMO SE ARMA
El índice se construye ANTES de escribir, calcado de los términos de referencia. Así ningún requisito se descubre faltando la noche anterior. Y la fecha de radicación se planea hacia atrás, empezando por los tiempos del laboratorio.

LO QUE TUMBA UN INFORME BUENO
Índice que no corresponde a la paginación. Planos sin rótulo, escala o norte. Cifras distintas en el texto, la tabla y el anexo.

Detalles de forma. Y por forma se devuelven documentos correctos.","Un informe de 400 páginas suele tener menos de 150 de texto. El resto son anexos. Y los anexos son lo que sostiene el documento.

Adentro hay: formatos de campo firmados, cadenas de custodia, certificados de calibración, memorias de cálculo, cartografía con su información geográfica, registro fotográfico fechado y actas de socialización.

Cómo se arma: el índice se construye ANTES de escribir, calcado de los términos de referencia. Y la fecha de radicación se planea hacia atrás, empezando por los tiempos del laboratorio.

Lo que tumba un informe bueno: índice que no corresponde, planos sin escala, cifras distintas entre texto y tabla.

Por forma se devuelven documentos correctos.",#SOSING #Valledupar #Cesar #EquipoSOSING #IngenieriaColombia #TalentoDelCesar #SeguridadYSalud #OrgulloVallenato,,https://raw.githubusercontent.com/Yair48/sosing-social/main/sosing_dia_61.png
